,answer,ans_grth,score
0,"Dalam Peraturan Otoritas Jasa Keuangan, yang dimaksud dengan:

1. Efek: Adalah surat berharga, yaitu surat pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, unit penyertaan kontrak investasi kolektif, kontrak berjangka atas Efek, dan setiap derivatif dari Efek. (Peraturan Otoritas Jasa Keuangan tentang Penawaran yang Bukan Merupakan Penawaran Umum, Pasal 1 ayat 2).

2. Penawaran Umum: Adalah kegiatan penawaran efek yang dilakukan oleh Emiten untuk menjual efek kepada masyarakat berdasarkan tata cara yang diatur dalam Undang-Undang mengenai pasar modal dan peraturan pelaksanaannya. (Peraturan Otoritas Jasa Keuangan tentang Penawaran Umum, Pasal 1 ayat 1).

3. Emiten: Adalah pihak yang melakukan Penawaran Umum. (Peraturan Otoritas Jasa Keuangan tentang Penawaran Umum, Pasal 1 ayat 2).","""a. Efek adalah surat berharga, yaitu surat pengakuan 
utang, surat berharga komersial, saham, obligasi, tanda 
bukti utang, unit penyertaan kontrak investasi kolektif, 
kontrak berjangka atas Efek, dan setiap derivatif dari 
Efek. b. Penawaran Umum adalah kegiatan penawaran Efek yang 
dilakukan oleh emiten untuk menjual Efek kepada
masyarakat berdasarkan tata cara yang diatur dalam 
Undang-Undang Nomor 8 Tahun 1995 tentang Pasar 
Modal dan peraturan pelaksanaannya. c. Emiten adalah Pihak yang melakukan Penawaran Umum.",1
1,"Saya akan menjawab pertanyaan Anda berdasarkan informasi yang diberikan dalam konteks yang telah disediakan.

Dalam konteks yang diberikan, terdapat beberapa hal yang dilarang oleh perusahaan efek dalam rangka penawaran umum oleh emiten atau pemasaran efek. Berikut ini adalah hal-hal tersebut:

1. Peraturan Pasar Modal nomor 9 tahun 2017, Pasal 13 ayat (2): Efek, agent penjualan efek, afiliasi dari penjamin emisi efek, atau afiliasi dari agent penjualan efek dilarang menjual efek yang telah dibeli atau akan dibelinya berdasarkan perjanjian penjaminan emisi efek sampai dengan efek tersebut dicatatkan di Bursa Efek.
2. Konteks: ""dalam hal Prospektus mencantumkan nama pihak yang membantu Emiten dalam penyusunan Prospektus, pihak dimaksud harus membuat pernyataan oleh emiten dalam rangka penawaran umum atau perusahaan publik."" Jika pihak yang membantu emiten dalam penyusunan Prospektus tidak membuat pernyataan, maka hal tersebut dapat menjadi pelanggaran peraturan.

Selain itu, dalam konteks yang diberikan tidak ada informasi yang langsung menjelaskan apa yang dilarang oleh perusahaan efek dalam rangka penawaran umum oleh emiten atau pemasaran efek. Untuk mendapatkan informasi lebih lanjut, saya sarankan memeriksa peraturan lain yang berhubungan dengan topik ini.

Jawab:

Dalam konteks yang diberikan, ada dua hal yang dianggap di larangkan oleh perusahaan efek dalam rangka penawaran umum oleh emiten atau pemasaran efek. Pertama, pihak-pihak tertentu dilarang menjual efek yang telah dibeli atau akan dibelinya berdasarkan perjanjian penjaminan emisi efek sampai dengan efek tersebut dicatatkan di Bursa Efek (Peraturan Pasar Modal nomor 9 tahun 2017, Pasal 13 ayat (2)). Kedua, jika pihak yang membantu emiten dalam penyusunan Prospektus tidak membuat pernyataan, maka hal tersebut dapat menjadi pelanggaran peraturan. Namun, untuk mendapatkan informasi lebih lanjut, saya sarankan memeriksa peraturan lain yang berhubungan dengan topik ini.","""
""a. memuat informasi yang tidak benar atau tidak 
mengungkapkan fakta material, sehingga memberikan 
gambaran yang menyesatkan; dan/atau
b. memberikan gambaran yang menyesatkan, karena isi 
dan/atau metode penyajiannya memberikan kesan 
bahwa Efek tertentu tepat bagi Pihak tertentu yang 
sebenarnya tidak memiliki kemampuan yang cukup 
untuk menanggung risiko yang ada pada Efek tersebut.",1
2,"Based on the provided context, which is Peraturan Otoritas Jasa Keuangan Nomor 7/POJK.04/2","""
a. memuat informasi bahwa Efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu; dan b. mengungkapkan risiko yang berhubungan dengan investasi atas Efek tertentu dimaksud.",1
3,"Based on the provided context, which is Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7 /POJK.04/2","
Dalam hal promosi pemasaran Efek memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, pendapat, proyeksi, atau ramalan mengenai Efek tertentu tersebut wajib diungkapkan secara jelas.",1
4,"Pasal 12 ayat (1), Pasal 104, dan Pasal 11 pemberlakukan aturan tentang pengenaan sanksi administratif oleh Otoritas Jasa Keuangan. Hal ini didasarkan pada beberapa context yang disediakan.","
Pasal 7 ayat (4) dan tindakan tertentu sebagaimana dimaksud dalam Pasal 8 kepada masyarakat.",1
5,"Pasal 3, Pasal 4, dan Pasal 5 dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7 /POJK.04/2019 tentang Promosi Pemasaran Efek termasuk Iklan, Brosur, atau Komunikasi Lainnya Kepada Publik menetapkan bahwa dalam hal promosi pemasaran efek, wajib memuat informasi tertentu. Berikut adalah informasi yang harus disertakan:

1. Pasal 3(1), promosi pemasaran efek wajib memuat informasi bahwa efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu dan mengungkapkan risiko yang berhubungan dengan investasi atas efek tersebut.
2. Pasal 4, dalam hal promosi pemasaran efek memuat rekomendasi untuk membeli, menjual, atau menahan efek tertentu, wajib memuat informasi sebagai berikut:
   a. Tanggal rekomendasi;
   b. Harga pasar pada saat rekomendasi dibuat;
   c. Pihak yang memberikan rekomendasi; dan
   d. Keterangan apakah pihak yang memberikan rekomendasi atau pihak terafiliasinya telah memperdagangkan efek tersebut untuk rekeningnya secara reguler atau memiliki efek tersebut dengan nilai paling sedikit Rp25.000.000,00.
3. Pasal 5, dalam hal promosi pemasaran efek memuat pendapat, proyeksi, atau ramalan mengenai efek tertentu, pendapat, proyeksi, atau ramalan tersebut wajib diungkapkan secara jelas.

Selain itu, dalam rangka Penawaran Umum, promosi pemasaran efek wajib memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian efek setelah pemodal dimaksud memperoleh Prospektus atau memperoleh kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif (Pasal 6).","
a. tanggal rekomendasi; b. harga pasar pada saat rekomendasi dibuat; c. Pihak yang memberikan rekomendasi; dan d. keterangan apakah Pihak yang memberikan rekomendasi atau Pihak terafiliasinya telah memperdagangkan Efek tersebut untuk rekeningnya secara reguler atau memiliki Efek tersebut dengan nilai paling sedikit Rp25.000.000,00 (dua puluh lima juta rupiah).",1
6,Pasal 5 Peraturan Otoritas Jasa Keuangan Nomor 7/POJK.04/2,"
Dalam hal promosi pemasaran Efek memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, pendapat, proyeksi, atau ramalan mengenai Efek tertentu tersebut wajib diungkapkan secara jelas.",0
7,"Pasal 77, Pasal 78 ayat (2), ayat (3), Pasal 13, dan ayat (1), (2), (3) yang dikenai sanksi administratif, mengacu pada Peraturan Nomor 21/POJK.04/2014 tentang Sanksi Administratif di Pasar Modal. Hal ini dimaksudkan dalam ayat (1) sebagai ""sanksi administratif"".

Sanksi administratif sebagaimana dimaksud dalam ayat (1) meliputi:
a. peringatan tertulis;
b. denda, yaitu kewajiban untuk membayar sejumlah uang tertentu;
c. pembatasan kegiatan usaha;
d. pembekuan kegiatan usaha;
e. pencabutan izin usaha;
f. pembatalan persetujuan; dan/atau
g. pembatalan pendaftaran.

Artikel ini diambil dari Peraturan Nomor 21/POJK.04/2014.","
a. peringatan tertulis; b. denda yaitu kewajiban untuk membayar sejumlah uang tertentu; c. pembatasan kegiatan usaha; d. pembekuan kegiatan usaha; e. pencabutan izin usaha; f. pembatalan persetujuan; dan/atau g. pembatalan pendaftaran.",0
8,"Pasal 107 Peraturan Otoritas Jasa Keuangan tahun 2020 menetapkan bahwa peraturan ini mulai berlaku pada tanggal dundangkannya, yaitu tanggal 25 Mei 2020.

Salinan sesuai dengan aslinya. Direktur Hukum 1 Departemen Hukum ttd Mufli Asmawidjaja. Ditetapkan di Jakarta pada tanggal 25 Mei 2020. KETUA DEWAN KOMISIONER OTORITAS JASA KEUANGAN REPUBLIK INDONESIA, ttd WIMBOH SANTOSO. Diundangkan di Jakarta pada tanggal 2 Juli 2020. MENTERI HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, ttd YASONNA H. LAOLY. LEMBARAN NEGARA REPUBLIK INDONESIA TAHUN 2020 NOMOR 161.","
""Peraturan Otoritas Jasa Keuangan ini mulai berlaku pada
tanggal diundangkan.",0
9,"Sesuai dengan Peraturan Otoritas Jasa Keuangan Nomor KEP-06/2014, yang dimaksud dengan:

1. Prospektus adalah setiap informasi tertulis sehubungan dengan Penawaran Umum dengan tujuan agar Pihak lain membeli Efek.
2. Prospektus Awal adalah dokumen tertulis yang memuat seluruh informasi dalam Prospektus yang disampaikan kepada Otoritas Jasa Keuangan sebagai bagian dari Pernyataan Pendaftaran, kecuali informasi mengenai nilai nominal, jumlah dan harga penawaran Efek, penjaminan emisi Efek, tingkat suku bunga obligasi, atau hal lain yang berhubungan dengan persyaratan penawaran yang belum dapat ditentukan.
3. Prospektus Ringkas adalah ringkasan dari isi Prospektus Awal.

Dalam undang-undang yang sama, prospektus digunakan sebagai alat untuk menyampaikan informasi kepada umum, sedangkan prospektus awal digunakan sebagai dasar untuk membuat prospektus ringkas.","""
Prospektus adalah setiap informasi tertulis sehubungan dengan Penawaran Umum dengan tujuan agar Pihak lain membeli Efek Emiten. Prospektus Awal adalah dokumen tertulis yang memuat seluruh informasi dalam Prospektus yang disampaikan kepada Otoritas Jasa Keuangan sebagai bagian dari pernyataan pendaftaran, kecuali informasi mengenai nilai nominal, jumlah dan harga penawaran Efek, penjaminan emisi Efek, tingkat suku bunga obligasi, atau hal lain yang berhubungan dengan persyaratan penawaran yang belum dapat ditentukan. Prospektus Ringkas adalah ringkasan dari isi Prospektus Awal. ",
10,"Dalam konteks dari Peraturan Otoritas Jasa Keuangan (OJK) Nomor 111/POJK.04/2011, Perusahaan Terbuka adalah emiten yang telah melakukan Penawaran Umum Efek bersifat ekuitas atau Perusahaan Publik. Sehingga, perusahaan terbuka adalah perusahaan yang sudah melakukan penawaran umum modal berupa saham secara public dan telah terdaftar di Bursa Efek Indonesia. Selain itu, dalam Peraturan Otoritas Jasa Keuangan (OJK) Nomor 10/POJK.04/2014, perusahaan terbuka juga termasuk perusahaan yang laporan keuangannya dikonsolidasikan dengan laporan keuangan perusahaan terbuka.","
Perusahaan Terbuka adalah emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik.",1
11,"Pemegang Saham Independen, sebagaimana dimaksud dalam Undang-Undang mengenai Pasar Modal, adalah pemegang saham yang tidak mempunyai kepentingan ekonomis pribadi sehubungan dengan suatu transaksi tertentu dan bukan merupakan anggota direksi, anggota dewan komisaris, pemegang saham utama, atau pengendali, serta bukan merupakan afiliasi dari anggota direksi, anggota dewan komisaris, pemegang saham utama, atau pengendali. Hal ini dimaksudkan untuk memastikan adanya pemantauan independen terhadap kegiatan perusahaan dan melindungi kepentingan umum pemegang saham. Arti dari istilah ini dapat ditemukan dalam Pasal 1 ayat 9, Pasal 10 ayat 4, Pasal 11 ayat 3, dan Pasal 13 ayat 5 dari Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal.","
Pemegang Saham Independen adalah pemegang saham yang tidak mempunyai kepentingan ekonomis pribadi sehubungan dengan suatu transaksi tertentu dan  a. bukan merupakan anggota Direksi, anggota Dewan Komisaris, pemegang saham utama, dan Pengendali; atau b. bukan merupakan afiliasi dari anggota Direksi, anggota Dewan Komisaris, pemegang saham utama, dan Pengendali.",1
12,"Based on the provided context, the regulation regarding the convening of a General Meeting of Shareholders (RUPS) in Indonesia is regulated by the Financial Services Authority (OJK) in the Regulation of the OJK No. 32/POJK.04/2014 concerning the Planning and Conduct of the General Meeting of Shareholders of Public Companies.

In relation to the question about when a public company must hold a RUPS if the approved plan in the RUPS has not been implemented within a certain period, it is regulated in Article 83 (1) of the aforementioned regulation.

Article 83 (1) states: ""If the approved plan of a public company as referred to in Article 64 has not been implemented within a certain period, the public company must hold a RUPS.""

Therefore, the public company must hold a RUPS if the approved plan has not been implemented within a certain period. However, the regulation does not specify the exact time frame for holding the RUPS in this situation. It is possible that the regulation leaves it to the discretion of the company to determine the appropriate time to hold the RUPS, or it may be regulated in other provisions of the regulation.","
Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan paling lambat 6 (enam) bulan setelah tahun buku berakhir.",1
13,"Pasal 3 ayat (1) UU No. 8 Tahun 1995 Tentang Perusahaan Terbuka (disertai Perubahan terakhir Tahun 2017) menyebutkan bahwa penyelenggaraan RUPS (Rapat Umum Pemegang Saham) dapat dilakukan atas permintaan:

a. 1 (satu) orang atau lebih pemegang saham yang bersama-sama mewakili 1/10 (satu persepuluh) atau lebih dari jumlah seluruh saham dengan hak suara, kecuali anggaran dasar menentukan suatu jumlah yang lebih kecil; atau

b. Dewan Komisaris.

Hal ini berarti, ada dua jenis permintaan penyelenggaraan RUPS, yaitu permintaan dari:

1. Pemegang saham yang bersama-sama mewakili 1/10 atau lebih dari jumlah seluruh saham dengan hak suara, kecuali jika anggaran dasar menentukan jumlah yang lebih kecil.
2. Dewan Komisaris.","
a. dilakukan dengan itikad baik; b. mempertimbangkan kepentingan Perusahaan Terbuka; c. merupakan permintaan yang membutuhkan keputusan RUPS; d. disertai dengan alasan dan bahan terkait hal yang harus diputuskan dalam RUPS; dan e. tidak bertentangan dengan ketentuan peraturan perundang-undangan dan anggaran dasar Perusahaan Terbuka",1
14,"Based on the provided context, the directions are mainly regulated by Financial Services Authority (OJK) Regulation No. 33/POJK.04/2014 on the Board of Directors of Public Companies, especially Articles 12, 55, and 13. Here are the main duties and responsibilities of the Directors:

1. Managing the company in the best interest of the company and its stakeholders in accordance with the company's purpose and objectives as stated in the articles of association (Article 12(1)).
2. Conducting annual general meeting of shareholders (RUPS) and other meetings as stipulated by laws and regulations and the articles of association (Article 12(2)).
3. Each Director must perform their duties with utmost good faith, responsibility, and care (Article 12(3)).
4. The Board of Directors may establish committees to support the effectiveness of their duties (Article 55(1)).
5. The Board of Directors is responsible for evaluating the performance of the committees annually (Article 55(4)).
6. Directors are liable for any losses incurred by the company due to their errors or negligence in performing their duties (Article 13(1)).
7. Directors cannot be held responsible for the losses incurred by the company if they can prove that the losses were not due to their errors or negligence, they have acted in good faith, with due care and responsibility, without any conflict of interest, and have taken steps to prevent or mitigate the losses (Article 13(2)).
8. Directors who oversee the application of the Anti-Money Laundering and Counter-Terrorism Financing (AML/CFT) program, including the assessment of high-risk customers or Politically Exposed Persons (PEPs), are responsible for setting policies and procedures, monitoring implementation, and reporting to the relevant authorities (Article 21).
9. Directors are responsible for implementing the reporting obligations to the Financial Transaction Reports and Analysis Center (PPATK) in accordance with the applicable laws and regulations (Article 21).","
(1) Direksi wajib melakukan pengumuman RUPS kepada pemegang saham paling lambat 15 (lima belas) hari terhitung sejak tanggal permintaan penyelenggaraan RUPS sebagaimana dimaksud dalam Pasal 3 ayat (1) diterima Direksi. (2) Direksi wajib menyampaikan pemberitahuan mata acara rapat dan surat tercatat sebagaimana dimaksud dalam Pasal 3 ayat (2) dari pemegang saham atau Dewan Komisaris kepada Otoritas Jasa Keuangan paling lambat 5 (lima) hari kerja sebelum pengumuman sebagaimana dimaksud pada ayat (1).",0
15,"Pasal 4 ayat (1) dari context yang dimaksud menetapkan bahwa Direksi wajib melakukan pengumuman RUPS (Rapat Umum Pemegang Saham) kepada pemegang saham paling lambat 15 (lima belas) hari terhitang sejak tanggal permintaan penyelenggaraan RUPS diterima oleh Direksi. Hal ini didasarkan pada Pasal 3 ayat (1) huruf a, yang menentukan bahwa pemegang saham dapat meminta penyelenggaraan RUPS.

Selain itu, Pasal 5 (1) menetapkan bahwa jika Direksi tidak melakukan pengumuman RUPS sebagaimana dimaksud dalam Pasal 4 ayat (1) atas usulan pemegang saham sebagaimana dimaksud dalam Pasal 3 ayat (1) huruf a dalam jangka waktu paling lambat 15 (lima belas) hari terhitang sejak tanggal permintaan penyelenggaraan RUPS diterima oleh Direksi, maka Direksi wajib mengumumkan: a. terdapat permintaan penyelenggaraan RUPS dari pemegang saham yang tidak diselenggarakan; dan b. alasan tidak diselenggarakannya RUPS.

Dalam hal ini, yang dimaksud dengan ""RUPS"" adalah Rapat Umum Pemegang Saham, yaitu rapat yang diselenggarakan oleh perusahaan terbuka atau perusahaan publik untuk mengambil keputusan atas urusan yang penting.

Jadi, secara garis besar, apa yang wajib diumumkan oleh Direksi sesuai dengan Pasal 4 ayat (1) adalah informasi mengenai pengumuman RUPS kepada pemegang saham. Hal ini meliputi informasi mengenai tanggal, waktu, tempat, dan agenda dari RUPS, serta cara untuk mengkonfirmasi kehadiran atau mengundi jika rapat dilakukan secara tertulis. Selain itu, Direksi juga wajib mengumumkan alasan apabila tidak dapat melakukan pengumuman RUPS sesuai dengan jangka waktu yang ditentukan.","
a. terdapat permintaan penyelenggaraan RUPS dari pemegang saham yang tidak diselenggarakan; dan b. alasan tidak diselenggarakannya RUPS.",1
16,"Based on the provided context, the relevant regulation is the Regulation of the Financial Services Authority (OJK) regarding the Implementation of the General Meeting of Shareholders of Public Companies.

In relation to your question, ""What is the deadline for shareholders who have obtained a court decision to hold a General Meeting of Shareholders (RUPS) to start counting the 60-day period as referred to in Article 147 paragraph (1)"", the answer is as follows:

Article 147 paragraph (1) of the aforementioned regulation states that the 60-day period for shareholders who have obtained a court decision to hold a RUPS starts counting from the date of the announcement of the notification to the shareholders. However, the specific article regarding the announcement of the notification to the shareholders who have obtained a court decision is not provided in the context.

Therefore, I cannot provide a specific article number for the regulation related to the announcement of the notification to the shareholders who have obtained a court decision. My apologies for any inconvenience this may cause.","
Pemegang saham yang telah memperoleh penetapan pengadilan untuk menyelenggarakan RUPS sebagaimana dimaksud dalam Pasal 6 ayat (2) wajib menyelenggarakan RUPS.",1
17,"Pasal 11 Peraturan Nomor KEP-13/PN/2018 tentang Pengawasan Perseroan Terbuka dan Perusahaan Terbatas mengatur mengenai tempat dan waktu penyelenggaraan RUPS (Rapat Umum Pemegang Saham). Berikut adalah isi dari Pasal 11:

Pasal 11 (1) RUPS wajib diselenggarakan di wilayah Negara Republik Indonesia.

(2) Perusahaan Terbuka wajib menentukan tempat dan waktu penyelenggaraan RUPS.

(3) Tempat penyelenggaraan RUPS sebagaimana dimaksud pada ayat (2) wajib dilakukan di: a. tempat kedudukan Perusahaan Terbuka; b. tempat Perusahaan Terbuka melakukan kegiatan usaha utamanya; c. ibukota provinsi tempat kedudukan atau tempat kegiatan usaha utama Perusahaan Terbuka; atau d. provinsi tempat kedudukan bursa efek yang mencatatkan saham Perusahaan Terbuka.

Dalam hal ini, kami hanya memuatkan beberapa bagian dari Pasal 11 yang relevan dengan pertanyaan yang diajukan. Untuk lebih lengkapnya, silakan baca Peraturan Nomor KEP-13/PN/2018 tentang Pengawasan Perseroan Terbuka dan Perusahaan Terbatas.","
Tempat dan Waktu Penyelenggaraan RUPS Pasal 11 (1) RUPS wajib diselenggarakan di wilayah Negara Republik Indonesia. (2) Perusahaan Terbuka wajib menentukan tempat dan waktu penyelenggaraan RUPS. (3) Tempat penyelenggaraan RUPS sebagaimana dimaksud pada ayat (2) wajib dilakukan di: a. tempat kedudukan Perusahaan Terbuka; b. tempat Perusahaan Terbuka melakukan kegiatan usaha utamanya; c. ibukota provinsi tempat kedudukan atau tempat kegiatan usaha utama Perusahaan Terbuka; atau d. provinsi tempat kedudukan bursa efek yang mencatatkan saham Perusahaan Terbuka.",1
18,"Pasal 11, 12, 21, dan 22 dari Peraturan Otoritas Jasa Keuangan (OJK) Nomor 32/POJK.04/2014 tentang Penyelenggaraan Rapat Umum Pemegang Saham Perusahaan Terbuka (RUPS) menetapkan beberapa kewajiban perusahaan terbuka dalam memenuhi ketentuan penyelenggaraan RUPS. Berikut adalah ringkasan kewajiban perusahaan terbuka:

1. Tempat dan waktu penyelenggaraan RUPS wajib ditentukan oleh perusahaan terbuka (Pasal 11 (2)). Tempat penyelenggaraan RUPS dapat dilakukan di tempat kedudukan perusahaan terbuka, tempat kegiatan usaha utamanya, ibukota provinsi tempat kedudukan atau tempat kegiatan usaha utama perusahaan terbuka, atau provinsi tempat kedudukan bursa efek yang mencatatkan saham perusahaan terbuka (Pasal 11 (3)).
2. Perusahaan terbuka wajib memenuhi tiga prosedur penyelenggaraan RUPS, yaitu: menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan, melakukan pengumuman RUPS kepada pemegang saham, dan melakukan pemanggilan RUPS kepada pemegang saham (Pasal 12 (1)).
3. Jika perusahaan terbuka melakukan perubahan kegiatan usaha, wajib memperoleh persetujuan RUPS, menggunakan penilai untuk melakukan studi kelayakan atas perubahan kegiatan usaha, mengumumkan keterbukaan informasi mengenai rencana perubahan kegiatan usaha kepada pemegang saham bersamaan dengan pengumuman RUPS, menyediakan data tentang perubahan kegiatan usaha tersebut bagi pemegang saham sejak saat pengumuman RUPS, dan menyampaikan keterbukaan informasi sebagaimana dimaksud dalam huruf c dan dokumen pendukungnya kepada Otoritas Jasa Keuangan paling lambat pada saat pengumuman RUPS (Pasal 22 (1)).
4. Perusahaan terbuka wajib melakukan RUPS dengan melakukan persiapan seperti yang dimaksud dalam Pasal 12 (Pasal 21 (1)).
5. Perusahaan terbuka dapat melaksanakan RUPS secara elektronik dengan menggunakan e-RUPS yang disediakan oleh Penyedia e-RUPS atau sistem yang disediakan oleh pihak lain (Pasal 3 dan 4).

Kewajiban lain mungkin masih ada dalam peraturan tersebut, tetapi yang saya tuliskan di atas adalah yang paling relevan dengan pertanyaan yang diajukan.","
a. menyampaikan pemberitahuan mata acara rapat kepada Otoritas Jasa Keuangan; b. melakukan pengumuman RUPS kepada pemegang saham; dan c. melakukan pemanggilan RUPS kepada pemegang saham.",0
19,"Based on the provided context, specifically Pasal 14 (1) of the regulation, a Perusahaan Terbuka (Public Company) is required to make a RUPS (General Meeting of Shareholders) announcement to the shareholders at the latest 14 (fourteen) days before the RUPS call. The RUPS announcement must include at least:

a. The shareholders who are entitled to attend the RUPS.
b. The shareholders who are entitled to propose items on the RUPS agenda.

Therefore, the pengumuman RUPS as mentioned in Pasal 53 (1) refers to the announcement that includes the above-mentioned information.","
a. ketentuan pemegang saham yang berhak hadir dalam RUPS; b. ketentuan pemegang saham yang berhak mengusulkan mata acara rapat; c. tanggal penyelenggaraan RUPS; dan d. tanggal pemanggilan RUPS.",0
20,"Pasal 2 Peraturan Otoritas Jasa Keuangan Nomor KEP-01/2016 tentang Transaksi Material dan Perubahan Kegiatan Usaha menjelaskan bahwa Transaksi Material adalah setiap transaksi yang dilakukan oleh perusahaan terbuka atau perusahaan terkendali yang memenuhi batasan nilai sebagaimana diatur dalam Peraturan Otoritas Jasa Keuangan. Contoh Transaksi Material antara lain termasuk penyertaan dalam badan usaha, proyek, dan/atau kegiatan usaha tertentu, pembelian, penjualan, pengalihan, penggunaan, tukar-menukar aset atau segmen operasi, perolehan, pelepasan, dan/atau penggunaan jasa, sewa-menyewa aset, pinjam-meminjam dana termasuk pengalihannya, menjamin aset Perusahaan Terbuka dan/atau Perusahaan Terkendali atas pinjaman dari pihak lain, dan memberikan jaminan perusahaan. Hal ini meliputi juga Restrukturisasi yang telah memperoleh persetujuan dari Kementerian yang membawahi perusahaan dalam pengendalian pemerintah. Selain itu, Pasal 13 ayat (1) menjelaskan bahwa Transaksi Material yang merupakan Kegiatan Usaha adalah transaksi yang akan dilaksanakan secara rutin, berulang, dan/atau berkelanjutan dalam rangka menjalankan Kegiatan Usaha baru yang akan menghasilkan pendapatan usaha dan telah mendapat persetujuan RUPS terkait perubahan Kegiatan Usaha.","
Transaksi Material adalah setiap transaksi yang dilakukan oleh perusahaan terbuka atau perusahaan terkendali yang memenuhi batasan nilai sebagaimana diatur dalam Peraturan Otoritas Jasa Keuangan ini.",1
